Медицинские организации;Поступившие вопросы;Отвеченые вопросы;Не отвеченые вопросы;Поступившие отзывы;Опубликованные отзывы;Неопбуликованные отзывы
Бюджетное учреждение Чувашской Республики "Городская детская больница №1" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Ядринская межрайонная психиатрическая больница" Министерства здравоохранения Чувашской Республики ;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Ядринская межрайонная психиатрическая больница" Министерства здравоохранения Чувашской Республики ;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский центр медицины катастроф" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Алатырская психиатрическая больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский эндокринологический диспансер" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский центр медицины катастроф" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
ФГУ "Федеральный центр травматологии, ортопедии и эндопротезирования Федерального агенства по здравоохранению " г. Чебоксары;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский эндокринологический диспансер" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Алатырская психиатрическая больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Городская детская больница №1" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Центральная районная больница Алатырского района" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Казенное учреждение Чувашской Республики "Дом ребенка для детей с органическим поражением центральной нервной системы с нарушением психики" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Аликовская центральная районная больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "Батыревская ЦРБ" Минздрава Чувашии;0;0;0;0;0;0
БУ "Больница скорой медицинской помощи" Минздрава Чувашии;0;0;0;0;0;0
БУ "Центральная городская больница" Минздрава Чувашии;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Чебоксарская районная больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Первая Чебоксарская городская больница им. П. Н. Осипова;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Вторая городская больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "Городская детская больница №2" Минздрава Чувашии;0;0;0;0;0;0
БУ "ГДБ №3" МЗ ЧР;0;0;0;0;0;0
БУ "Городская клиническая больница № 1" Минздрава Чувашии;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Городской клинический центр" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Казенное учреждение Чувашской Республики "Республиканский детский противотуберкулезный санаторий "Чуварлейский бор" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Цивильская центральная районная больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
КУ «Центр ресурсного обеспечения государственных учреждений здравоохранения»;0;0;0;0;0;0
Казенное учреждение Чувашской Республики "Специализированный Дом ребенка "Малютка" для детей с органическими поражениями центральной нервной системы с нарушением психики" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Государственное унитарное предприятие Чувашской Республики «Фармация» Министерство здравоохранения Чувашской Республики;0;0;0;0;0;0
Автономное учреждение Чувашской Республики "Городская стоматологическая поликлиника" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "РКГДВВ" Минздрава Чувашии;0;0;0;0;0;0
БУ "Ибресинская ЦРБ" Минздрава Чувашии;0;0;0;0;0;0
БУ "Канашская ЦРБ" Минздрава Чувашии;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Канашский межтерриториальный медицинский центр" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Комсомольская центральная районная больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Козловская центральная районная больница им.И.Е.Виноградова" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Красночетайская районная больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Мед. портал;1;0;1;1;0;0
БУ "Мариинско-Посадская ЦРБ" Минздрава Чувашии;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Моргаушская центральная районная больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Новочебоксарская городская больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Новочебоксарский медицинский центр" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
АУ "Новочебоксарская городская стоматологическая поликлиника" Минздрава Чувашии;0;0;0;1;0;0
Бюджетное учреждение Чувашской Республики "Республиканское бюро судебно-медицинской экспертизы" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "Республиканский центр медицинской профилактики, лечебной физкультуры и спортивной медицины" Минздрава Чувашии;6;0;6;1;0;0
Бюджетное учреждение Чувашской Республики "Республиканский центр по профилактике и борьбе со СПИД и инфекционными заболеваниями" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "Республиканская детская клиническая больница" Минздрава Чувашии;84;0;84;346;346;0
Бюджетное учреждение Чувашской Республики "Республиканский детский санаторий "Лесная сказка" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Президентский перинатальный центр" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "Республиканская клиническая больница" Минздрава Чувашии;0;0;0;0;0;0
БУ "Республиканский кардиологический диспансер" Минздрава Чувашии;0;0;0;0;0;0
БУ "Республиканская клиническая офтальмологическая больница" Минздрава Чувашии;231;0;231;539;539;0
АУ "Республиканский клинический онкологический диспансер" Минздрава Чувашии;0;0;0;0;0;0
БУ «Республиканский кожно-венерологический диспансер» Минздрава Чувашии;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский наркологический диспансер" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "Республиканская психиатрическая больница" Минздрава Чувашии;0;0;0;0;0;0
Казенное учреждение Чувашской Республики "Республиканский противотуберкулезный диспансер" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
АУ Чувашской Республики "Республиканская поликлиника восстановительного лечения (вертебрологии и мануальной терапии)";0;0;0;0;0;0
