Организация;Все;Анонсы;Актуально;Новости;Сми о нас;Мастер классы;Наши гости;Мероприятия;Фото;Видео;Новое в медицине
Автономное учреждение Чувашской Республики "Городская стоматологическая поликлиника" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
АУ "Новочебоксарская городская стоматологическая поликлиника" Минздрава Чувашии;12;0;3;4;0;0;0;0;0;1;0
АУ Чувашской Республики "Республиканская поликлиника восстановительного лечения (вертебрологии и мануальной терапии)";1;0;0;1;0;0;0;0;0;0;0
Автономное учреждение Чувашской Республики "Республиканская стоматологическая поликлиника" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
АУ "Республиканский клинический онкологический диспансер" Минздрава Чувашии;21;0;2;7;1;2;2;1;1;1;0
БУ "Тестовая больница по указанию Н.И. Володиной" МЗ ЧР;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Алатырская психиатрическая больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Алатырская психиатрическая больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Аликовская центральная районная больница" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
БУ "Батыревская ЦРБ" Минздрава Чувашии;3;0;0;2;0;0;0;0;0;0;0
БУ "Больница скорой медицинской помощи" Минздрава Чувашии;3;0;0;2;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Вторая городская больница" Министерства здравоохранения Чувашской Республики;3;0;0;2;0;0;0;0;0;0;0
БУ "Вурнарская ЦРБ" Минздрава ЧР;28;0;3;10;2;2;2;1;1;1;0
Бюджетное учреждение Чувашской Республики "Городская детская больница №1" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Городская детская больница №1" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0;0;0;0;0;0
БУ "Городская детская больница №2" Минздрава Чувашии;5;0;1;3;0;0;0;0;0;0;0
БУ "ГДБ №3" МЗ ЧР;4;0;0;3;0;0;0;0;0;0;0
БУ "Городская клиническая больница № 1" Минздрава Чувашии;9;0;1;5;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Городской клинический центр" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
БУ "Ибресинская ЦРБ" Минздрава Чувашии;1;0;0;1;0;0;0;0;0;0;0
БУ "Канашская ЦРБ" Минздрава Чувашии;3;0;0;2;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Канашский межтерриториальный медицинский центр" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Козловская центральная районная больница им.И.Е.Виноградова" Министерства здравоохранения Чувашской Республики;3;0;0;2;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Комсомольская центральная районная больница" Министерства здравоохранения Чувашской Республики;3;0;0;2;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Красночетайская районная больница" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
БУ "Мариинско-Посадская ЦРБ" Минздрава Чувашии;1;0;0;1;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Медицинский информационно-аналитический центр" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
